# Arya Chaudhari , this used 6e-4
Epoch 0 | Loss 2.3043 | Accuracy 0.0916
Epoch 10 | Loss 2.1033 | Accuracy 0.6282
Epoch 20 | Loss 1.7309 | Accuracy 0.7035
Epoch 30 | Loss 1.2740 | Accuracy 0.7821
Epoch 40 | Loss 0.8822 | Accuracy 0.8239
Epoch 50 | Loss 0.6422 | Accuracy 0.8478
Epoch 60 | Loss 0.5093 | Accuracy 0.8694
Epoch 70 | Loss 0.4312 | Accuracy 0.8855
Epoch 80 | Loss 0.3815 | Accuracy 0.8957
Epoch 90 | Loss 0.3481 | Accuracy 0.9037
Epoch 100 | Loss 0.3243 | Accuracy 0.9097
Epoch 110 | Loss 0.3059 | Accuracy 0.9149
Epoch 120 | Loss 0.2909 | Accuracy 0.9185
Epoch 130 | Loss 0.2781 | Accuracy 0.9225
Epoch 140 | Loss 0.2666 | Accuracy 0.9255
Epoch 150 | Loss 0.2564 | Accuracy 0.9284
Epoch 160 | Loss 0.2469 | Accuracy 0.9312
Epoch 170 | Loss 0.2382 | Accuracy 0.9337
Epoch 180 | Loss 0.2300 | Accuracy 0.9361
Epoch 190 | Loss 0.2222 | Accuracy 0.9383
Epoch 200 | Loss 0.2147 | Accuracy 0.9401
Epoch 210 | Loss 0.2077 | Accuracy 0.9419
Epoch 220 | Loss 0.2009 | Accuracy 0.9436
Epoch 230 | Loss 0.1944 | Accuracy 0.9454
Epoch 240 | Loss 0.1881 | Accuracy 0.9473
Epoch 250 | Loss 0.1821 | Accuracy 0.9489
Epoch 260 | Loss 0.1762 | Accuracy 0.9506
Epoch 270 | Loss 0.1705 | Accuracy 0.9520
Epoch 280 | Loss 0.1649 | Accuracy 0.9538
Epoch 290 | Loss 0.1596 | Accuracy 0.9556

************ Overall Performance ************
Accuracy: 0.9505

MACRO
F1: 0.9499336517599859
Precision: 0.9500318000882209
Recall: 0.9499203005199313

WEIGHTED
F1: 0.9504344813377993
Precision: 0.9504517827013127
Recall: 0.9505

MICRO
F1: 0.9505
Precision: 0.9505
Recall: 0.9505
