epoch,loss,accuracy,precision_weighted,recall_weighted,f1_weighted,precision_macro,recall_macro,f1_macro,precision_micro,recall_micro,f1_micro
0,6.88615608215332,0.114,0.053551693410509776,0.114,0.06206370997171573,0.055227536138174015,0.11510663798413774,0.0634350453528961,0.114,0.114,0.114
10,0.6779505014419556,0.7738166666666667,0.7929821623266821,0.7738166666666667,0.7652523152221207,0.7914291791535334,0.7689782346243821,0.7616516313431094,0.7738166666666667,0.7738166666666667,0.7738166666666667
20,0.3712610900402069,0.8884833333333333,0.8900708628705428,0.8884833333333333,0.8885553955625398,0.8891885244714757,0.886652276679327,0.8871934724423506,0.8884833333333333,0.8884833333333333,0.8884833333333333
30,0.265672892332077,0.9223,0.9224753036261087,0.9223,0.9221264004102128,0.9217542552595257,0.9215057629362775,0.9213653787235362,0.9223,0.9223,0.9223
40,0.20155207812786102,0.9414,0.941395621361074,0.9414,0.9413776285395228,0.9408555581150188,0.9409962867954331,0.9409060179383107,0.9414,0.9414,0.9414
50,0.1627618819475174,0.9531,0.9530999636694131,0.9531,0.9530885730877848,0.9527683499479564,0.9527769875409213,0.9527612099424999,0.9531,0.9531,0.9531
60,0.13324980437755585,0.9617333333333333,0.9617215868768453,0.9617333333333333,0.9617162961881781,0.9614810983244222,0.9614770634764114,0.9614680631480323,0.9617333333333333,0.9617333333333333,0.9617333333333333
70,0.11037415266036987,0.9685666666666667,0.9685500733654999,0.9685666666666667,0.9685514597193903,0.9683830583080406,0.9683519992447482,0.968360725127661,0.9685666666666667,0.9685666666666667,0.9685666666666667
80,0.09194060415029526,0.974,0.9739928410568033,0.974,0.9739900558482439,0.9738673598485533,0.9738436675809463,0.9738492074135634,0.974,0.974,0.974
90,0.07680084556341171,0.9784666666666667,0.9784570965703662,0.9784666666666667,0.9784575139803775,0.9783757250145404,0.9783520891321068,0.978359566590487,0.9784666666666667,0.9784666666666667,0.9784666666666667
100,0.06422426551580429,0.9822666666666666,0.9822595461733219,0.9822666666666666,0.9822605555501456,0.9821779308814564,0.9821950361419347,0.9821839654362607,0.9822666666666666,0.9822666666666666,0.9822666666666666
110,0.05362279340624809,0.9857,0.9856966910060575,0.9857,0.9856967035353271,0.9856411340150212,0.985658931945224,0.9856484093557958,0.9857,0.9857,0.9857
120,0.044697105884552,0.9886666666666667,0.9886649121240763,0.9886666666666667,0.9886638947815373,0.9886275121881072,0.9886416495663635,0.988632712422512,0.9886666666666667,0.9886666666666667,0.9886666666666667
130,0.03713222220540047,0.99105,0.9910491265512932,0.99105,0.9910485153398837,0.9910403465308729,0.991039259734802,0.991038772094736,0.99105,0.99105,0.99105
140,0.030728818848729134,0.9929,0.9928997691913379,0.9929,0.9928991881633661,0.9928969043417817,0.9929052204564327,0.9929003769606141,0.9929,0.9929,0.9929
150,0.025372035801410675,0.9948666666666667,0.9948667072833318,0.9948666666666667,0.9948663635252984,0.9948768958182047,0.9948706394781158,0.9948734493166101,0.9948666666666667,0.9948666666666667,0.9948666666666667
160,0.02093237079679966,0.9962166666666666,0.9962169337581032,0.9962166666666666,0.9962164271498191,0.9962369365976331,0.9962322029804034,0.9962342041769722,0.9962166666666666,0.9962166666666666,0.9962166666666666
170,0.01724928244948387,0.9972666666666666,0.9972668001903637,0.9972666666666666,0.9972665687872339,0.9972935803920538,0.997290584090423,0.9972919205037153,0.9972666666666666,0.9972666666666666,0.9972666666666666
180,0.014217107556760311,0.9980666666666667,0.9980669362478624,0.9980666666666667,0.9980666350973351,0.9980885863167165,0.9980778436567379,0.9980830524426926,0.9980666666666667,0.9980666666666667,0.9980666666666667
190,0.01174216065555811,0.99855,0.9985502597532985,0.99855,0.9985499809715578,0.9985775068493874,0.998565668935162,0.9985714422997232,0.99855,0.99855,0.99855

************ Overall Performance ************
MLP Accuracy: 0.9748
F1-Score weighted: 0.9748001154241592
Recall weighted: 0.9748
Precision weighted: 0.9748252780345401
F1-Score macro: 0.9746529810320368
Recall macro: 0.9745894141474208
Precision macro: 0.9747421469445987
F1-Score micro: 0.9748
Recall micro: 0.9748
Precision micro: 0.9748
************ Finish ************
